JournalID,EntryDate,GLAccount,Description,Amount,Currency,UserID,EntryType,BusinessUnit,EffectiveDate,Flag_RoundNumber,Flag_Weekend,Flag_AfterHours,Count of JournalID,Flag_Duplicate ,RiskScore
JE000055,02-11-2023 14:33,2001-AP,Customer Receipt,6748.69,CAD,a.mehta,Manual,IT,02-11-2023 14:33,0,0,0,1,0,0
JE000056,09-05-2023 17:55,3001-Equity,Payroll,94092.21,USD,p.iyer,Manual,Operations,09-05-2023 17:55,0,0,0,1,0,0
JE000057,06-01-2023 21:46,2001-AP,Customer Receipt,8597.14,INR,u.sharma,Auto,HR,06-01-2023 21:46,0,0,1,1,0,1
JE000058,28-02-2023 21:56,1001-Cash,Adjustment,48537.78,USD,s.roy,Manual,Sales,28-02-2023 21:56,0,0,1,1,0,1
JE000059,02-10-2023 08:49,7001-Tax,Adjustment,68037.55,INR,u.sharma,Manual,Finance,02-10-2023 08:49,0,0,0,1,0,0
JE000060,17-08-2023 22:03,3001-Equity,Adjustment,21424.97,USD,admin,Auto,HR,25-11-2023 10:07,0,0,1,1,0,1
JE000061,31-05-2023 13:10,5001-COGS,Adjustment,33064.74,INR,s.roy,Manual,HR,31-05-2023 13:10,0,0,0,1,0,0
JE000062,21-08-2023 00:46,7001-Tax,Payroll,83683.34,CAD,u.sharma,Auto,HR,21-08-2023 00:46,0,0,1,1,0,1
JE000063,15-05-2023 16:48,1001-Cash,Intercompany Transfer,79616.8,INR,m.khan,Auto,Operations,15-05-2023 16:48,0,0,0,1,0,0
JE000064,02-04-2023 16:58,4001-Revenue,Customer Receipt,82960.13,USD,r.das,Auto,HR,02-04-2023 16:58,0,1,0,1,0,1
JE000065,24-02-2023 20:19,3001-Equity,Depreciation,8713.16,INR,s.roy,Manual,HR,24-02-2023 20:19,0,0,1,1,0,1
JE000066,24-11-2023 16:38,1200-AR,Customer Receipt,60796.06,CAD,r.das,Auto,HR,24-11-2023 16:38,0,0,0,1,0,0
JE000067,12-04-2023 04:23,3001-Equity,Reversal,181.21,CAD,s.roy,Auto,HR,12-04-2023 04:23,0,0,1,1,0,1
JE000068,24-03-2023 17:49,7001-Tax,Reversal,83740.44,CAD,r.das,Auto,Finance,24-03-2023 17:49,0,0,0,1,0,0
JE000069,29-09-2023 00:38,1001-Cash,Adjustment,99345.71,INR,r.das,Manual,Operations,29-09-2023 00:38,0,0,1,1,0,1
JE000070,15-06-2023 15:01,5001-COGS,Adjustment,64018.39,USD,s.roy,Manual,Operations,15-06-2023 15:01,0,0,0,1,0,0
JE000071,27-02-2023 11:56,7001-Tax,Accrual,74048.99,INR,m.khan,Auto,Sales,27-02-2023 11:56,0,0,0,1,0,0
JE000072,07-06-2023 07:03,3001-Equity,Reversal,14115.71,CAD,admin,Manual,Finance,07-06-2023 07:03,0,0,0,1,0,0
JE000073,04-05-2023 18:05,7001-Tax,Vendor Payment,82941.1,INR,u.sharma,Manual,IT,04-05-2023 18:05,0,0,0,1,0,0
JE000074,13-02-2023 23:31,2001-AP,Customer Receipt,10590.27,INR,r.das,Manual,Finance,13-02-2023 23:31,0,0,1,1,0,1
JE000075,05-02-2023 17:49,1200-AR,Customer Receipt,32663.26,USD,u.sharma,Manual,HR,05-02-2023 17:49,0,1,0,1,0,1
JE000076,06-03-2023 04:42,3001-Equity,Customer Receipt,11871.87,USD,a.mehta,Auto,Operations,06-03-2023 04:42,0,0,1,1,0,1
JE000077,01-09-2023 17:10,1200-AR,Depreciation,38735.63,CAD,s.roy,Manual,HR,01-09-2023 17:10,0,0,0,1,0,0
JE000078,16-05-2023 16:55,6001-OpEx,Vendor Payment,60442.24,INR,p.iyer,Manual,Operations,16-05-2023 16:55,0,0,0,1,0,0
JE000079,07-11-2023 13:13,2001-AP,Accrual,89805.2,USD,admin,Auto,Finance,07-11-2023 13:13,0,0,0,1,0,0
JE000080,04-10-2023 23:44,2001-AP,Payroll,28746.27,USD,admin,Manual,Sales,04-10-2023 23:44,0,0,1,1,0,1
JE000081,13-04-2023 22:19,6001-OpEx,Vendor Payment,8668.51,CAD,a.mehta,Manual,Sales,13-04-2023 22:19,0,0,1,1,0,1
JE000082,24-07-2023 21:41,1001-Cash,Accrual,16215.91,USD,p.iyer,Manual,Finance,24-07-2023 21:41,0,0,1,1,0,1
JE000083,11-07-2023 14:57,1001-Cash,Payroll,54632.24,INR,r.das,Auto,Sales,11-07-2023 14:57,0,0,0,1,0,0
JE000084,22-09-2023 14:07,3001-Equity,Adjustment,69714.54,CAD,a.mehta,Auto,Operations,22-09-2023 14:07,0,0,0,1,0,0
JE000085,07-05-2023 07:04,7001-Tax,Accrual,56412.71,USD,p.iyer,Manual,HR,07-05-2023 07:04,0,1,0,1,0,1
JE000086,23-06-2023 00:37,1200-AR,Accrual,7519.41,CAD,admin,Manual,IT,23-06-2023 00:37,0,0,1,1,0,1
JE000087,11-10-2023 07:37,5001-COGS,Reversal,76077.98,CAD,u.sharma,Auto,Operations,11-10-2023 07:37,0,0,0,1,0,0
JE000088,23-04-2023 00:04,1200-AR,Customer Receipt,50237.63,USD,r.das,Auto,Finance,23-04-2023 00:04,0,1,1,1,0,2
JE000089,29-12-2023 20:03,3001-Equity,Intercompany Transfer,89460.18,INR,a.mehta,Auto,IT,29-12-2023 20:03,0,0,1,1,0,1
JE000090,28-04-2023 02:57,1200-AR,Intercompany Transfer,59912.55,USD,s.roy,Manual,Sales,28-04-2023 02:57,0,0,1,1,0,1
JE000091,17-01-2023 10:04,7001-Tax,Customer Receipt,84748.64,USD,a.mehta,Auto,Sales,17-01-2023 10:04,0,0,0,1,0,0
JE000092,21-09-2023 07:17,4001-Revenue,Depreciation,74776.76,CAD,m.khan,Auto,Sales,21-09-2023 07:17,0,0,0,1,0,0
JE000093,09-12-2023 15:13,4001-Revenue,Payroll,62163.59,USD,r.das,Auto,IT,09-12-2023 15:13,0,1,0,1,0,1
JE000094,04-10-2023 04:46,3001-Equity,Customer Receipt,82828.79,INR,a.mehta,Manual,Finance,04-10-2023 04:46,0,0,1,2,1,2
JE000095,20-10-2023 18:30,1001-Cash,Reversal,10161.62,USD,u.sharma,Auto,IT,20-10-2023 18:30,0,0,0,1,0,0
JE000096,05-05-2023 15:51,3001-Equity,Adjustment,12012.02,INR,a.mehta,Manual,Finance,05-05-2023 15:51,0,0,0,1,0,0
JE017939,28-07-2023 06:06,7001-Tax,Customer Receipt,91592.04,CAD,a.mehta,Auto,IT,28-07-2023 06:06,0,0,0,2,1,1
JE000098,19-02-2023 21:27,4001-Revenue,Intercompany Transfer,32702.68,CAD,r.das,Manual,Finance,19-02-2023 21:27,0,1,1,1,0,2
JE000099,01-07-2023 13:26,7001-Tax,Customer Receipt,66540.83,INR,admin,Manual,HR,01-07-2023 13:26,0,1,0,1,0,1
JE000100,28-08-2023 23:03,3001-Equity,Customer Receipt,44736.76,INR,admin,Auto,IT,28-08-2023 23:03,0,0,1,1,0,1
JE000101,11-12-2023 20:41,1200-AR,Customer Receipt,80851.03,INR,p.iyer,Manual,HR,11-12-2023 20:41,0,0,1,1,0,1
JE000102,20-02-2023 01:25,1200-AR,Intercompany Transfer,96221.06,USD,m.khan,Auto,Operations,20-02-2023 01:25,0,0,1,1,0,1
JE000103,23-06-2023 03:15,3001-Equity,Reversal,74177.29,CAD,p.iyer,Manual,Sales,23-06-2023 03:15,0,0,1,1,0,1
JE000104,09-04-2023 06:34,3001-Equity,Depreciation,28982.93,CAD,u.sharma,Auto,HR,09-04-2023 06:34,0,1,0,1,0,1
JE000105,18-08-2023 04:27,7001-Tax,Payroll,95437.65,USD,s.roy,Auto,Sales,18-08-2023 04:27,0,0,1,1,0,1
JE000106,04-04-2023 08:29,1001-Cash,Reversal,5424,USD,admin,Manual,HR,04-04-2023 08:29,0,0,0,1,0,0
JE000107,08-05-2023 02:28,4001-Revenue,Customer Receipt,71591.34,USD,p.iyer,Auto,Finance,08-05-2023 02:28,0,0,1,1,0,1
JE000108,09-10-2023 03:03,4001-Revenue,Customer Receipt,41002.3,USD,r.das,Auto,Operations,09-10-2023 03:03,0,0,1,1,0,1
JE000109,30-11-2023 17:53,6001-OpEx,Depreciation,86330.24,CAD,p.iyer,Manual,IT,30-11-2023 17:53,0,0,0,1,0,0
JE000110,08-01-2023 02:59,2001-AP,Accrual,6630.5,INR,p.iyer,Manual,IT,08-01-2023 02:59,0,1,1,1,0,2
JE000111,05-08-2023 14:04,4001-Revenue,Depreciation,93643.95,USD,s.roy,Manual,IT,02-05-2023 05:26,0,1,0,1,0,1
JE000112,06-09-2023 15:13,5001-COGS,Vendor Payment,11619.57,CAD,a.mehta,Manual,IT,06-09-2023 15:13,0,0,0,1,0,0
JE000113,25-07-2023 01:10,5001-COGS,Payroll,23637.45,CAD,r.das,Auto,Sales,25-07-2023 01:10,0,0,1,1,0,1
JE000114,14-07-2023 00:24,4001-Revenue,Customer Receipt,52475.89,USD,r.das,Manual,Sales,14-07-2023 00:24,0,0,1,1,0,1
JE000115,16-05-2023 14:18,1001-Cash,Adjustment,61192.51,CAD,p.iyer,Manual,HR,16-05-2023 14:18,0,0,0,1,0,0
JE000116,05-08-2023 22:46,7001-Tax,Accrual,95247.91,CAD,u.sharma,Manual,Sales,05-08-2023 22:46,0,1,1,1,0,2
JE000117,12-10-2023 21:45,7001-Tax,Intercompany Transfer,50000,CAD,admin,Auto,IT,12-10-2023 21:45,1,0,1,1,0,2
JE000118,07-09-2023 04:12,1001-Cash,Adjustment,60353.37,USD,u.sharma,Manual,Sales,07-09-2023 04:12,0,0,1,1,0,1
JE000119,23-09-2023 16:40,1001-Cash,Vendor Payment,96475.17,USD,a.mehta,Auto,Finance,01-06-2023 06:03,0,1,0,1,0,1
JE000120,24-10-2023 23:34,5001-COGS,Accrual,49932.05,USD,u.sharma,Auto,HR,24-10-2023 23:34,0,0,1,1,0,1
JE000121,01-02-2023 23:20,3001-Equity,Adjustment,39115,CAD,r.das,Auto,HR,01-02-2023 23:20,0,0,1,1,0,1
JE000122,24-09-2023 03:04,5001-COGS,Adjustment,53227.29,USD,admin,Manual,HR,30-01-2023 01:37,0,1,1,1,0,2
JE000123,02-09-2023 16:58,5001-COGS,Reversal,51235.53,CAD,m.khan,Manual,IT,02-09-2023 16:58,0,1,0,1,0,1
JE000124,29-09-2023 05:03,2001-AP,Depreciation,60639.31,USD,s.roy,Manual,IT,29-09-2023 05:03,0,0,1,1,0,1
JE000125,18-09-2023 02:54,3001-Equity,Accrual,78267.23,CAD,m.khan,Manual,Finance,18-09-2023 02:54,0,0,1,1,0,1
JE000126,06-04-2023 02:38,4001-Revenue,Customer Receipt,78762.71,CAD,a.mehta,Manual,Finance,06-04-2023 02:38,0,0,1,1,0,1
JE000127,04-02-2023 21:55,1200-AR,Accrual,19725.5,INR,admin,Auto,IT,04-02-2023 21:55,0,1,1,1,0,2
JE000128,01-05-2023 12:07,1200-AR,Customer Receipt,49295.27,CAD,u.sharma,Manual,IT,01-05-2023 12:07,0,0,0,1,0,0
JE000129,19-10-2023 07:37,1001-Cash,Payroll,31048.53,USD,r.das,Manual,IT,19-10-2023 07:37,0,0,0,1,0,0
JE000130,01-11-2023 01:39,2001-AP,Customer Receipt,63914.66,INR,r.das,Manual,HR,01-11-2023 01:39,0,0,1,1,0,1
JE000131,11-02-2023 13:42,3001-Equity,Accrual,69244.79,INR,m.khan,Auto,Sales,11-02-2023 13:42,0,1,0,1,0,1
JE000132,26-10-2023 18:33,5001-COGS,Customer Receipt,21248.69,USD,admin,Manual,Sales,26-10-2023 18:33,0,0,0,1,0,0
JE000133,11-06-2023 08:13,1001-Cash,Payroll,74234.08,INR,s.roy,Auto,HR,11-06-2023 08:13,0,1,0,1,0,1
JE018739,09-12-2023 22:20,2001-AP,Intercompany Transfer,91541.86,CAD,admin,Auto,Finance,09-12-2023 22:20,0,1,1,2,1,3
JE000135,03-05-2023 08:25,4001-Revenue,Accrual,12756.14,INR,a.mehta,Manual,Sales,03-05-2023 08:25,0,0,0,1,0,0
JE000136,09-03-2023 21:41,7001-Tax,Intercompany Transfer,73200.62,INR,s.roy,Auto,Sales,09-03-2023 21:41,0,0,1,1,0,1
JE000137,03-06-2023 14:20,7001-Tax,Reversal,36780,USD,p.iyer,Manual,Finance,03-06-2023 14:20,0,1,0,1,0,1
JE000138,07-02-2023 00:29,2001-AP,Reversal,80053.49,USD,admin,Auto,Finance,07-02-2023 00:29,0,0,1,1,0,1
JE000139,15-11-2023 18:06,5001-COGS,Reversal,24256.04,CAD,admin,Manual,HR,15-11-2023 18:06,0,0,0,1,0,0
JE000140,07-02-2023 17:13,7001-Tax,Payroll,46735.42,CAD,a.mehta,Manual,Sales,07-02-2023 17:13,0,0,0,1,0,0
JE000141,17-09-2023 08:08,5001-COGS,Customer Receipt,1684.58,USD,s.roy,Auto,Operations,17-09-2023 08:08,0,1,0,1,0,1
JE000142,28-06-2023 02:56,3001-Equity,Accrual,63478.42,USD,s.roy,Manual,Sales,28-06-2023 02:56,0,0,1,1,0,1
JE000143,06-05-2023 11:18,7001-Tax,Reversal,10000,CAD,m.khan,Manual,IT,06-05-2023 11:18,1,1,0,1,0,2
JE000144,11-05-2023 20:10,1200-AR,Payroll,68194.1,USD,s.roy,Auto,HR,22-03-2023 14:53,0,0,1,1,0,1
JE000145,06-10-2023 22:19,5001-COGS,Customer Receipt,92101.13,CAD,admin,Manual,Finance,06-10-2023 22:19,0,0,1,1,0,1
JE000146,10-11-2023 20:33,6001-OpEx,Adjustment,44371.04,USD,a.mehta,Manual,IT,10-11-2023 20:33,0,0,1,1,0,1
JE000147,05-01-2023 21:52,4001-Revenue,Accrual,20375.11,USD,u.sharma,Manual,Sales,05-01-2023 21:52,0,0,1,2,1,2
JE000148,11-10-2023 09:59,1200-AR,Intercompany Transfer,34269.08,INR,m.khan,Auto,HR,11-10-2023 09:59,0,0,0,1,0,0
JE000149,06-12-2023 03:56,5001-COGS,Intercompany Transfer,41772.7,CAD,p.iyer,Manual,HR,06-12-2023 03:56,0,0,1,1,0,1
JE000150,10-03-2023 08:07,3001-Equity,Vendor Payment,7592.8,INR,m.khan,Auto,Sales,10-03-2023 08:07,0,0,0,1,0,0
JE000151,24-02-2023 23:35,3001-Equity,Reversal,19448.85,USD,u.sharma,Auto,Sales,24-02-2023 23:35,0,0,1,1,0,1
JE000152,21-03-2023 08:18,1001-Cash,Vendor Payment,91369.09,CAD,a.mehta,Manual,IT,21-03-2023 08:18,0,0,0,1,0,0
JE000153,24-12-2023 00:33,7001-Tax,Customer Receipt,1011.78,INR,m.khan,Auto,Sales,06-11-2023 06:45,0,1,1,1,0,2
JE000154,25-06-2023 06:43,1001-Cash,Intercompany Transfer,33461.01,INR,s.roy,Manual,Finance,25-06-2023 06:43,0,1,0,1,0,1
JE000155,21-11-2023 08:32,6001-OpEx,Reversal,25000,USD,r.das,Auto,IT,21-11-2023 08:32,1,0,0,1,0,1
JE000156,08-09-2023 08:57,6001-OpEx,Customer Receipt,7801.94,INR,m.khan,Manual,Finance,08-09-2023 08:57,0,0,0,2,1,1
JE000157,27-01-2023 02:40,6001-OpEx,Payroll,37477.99,CAD,m.khan,Auto,Finance,27-01-2023 02:40,0,0,1,1,0,1
JE000158,05-08-2023 08:02,7001-Tax,Vendor Payment,22954.52,INR,m.khan,Manual,IT,05-08-2023 08:02,0,1,0,1,0,1
JE000159,02-01-2023 10:49,1001-Cash,Adjustment,96843.07,INR,m.khan,Manual,Sales,02-01-2023 10:49,0,0,0,1,0,0
JE000160,08-03-2023 20:16,6001-OpEx,Intercompany Transfer,4569.83,USD,s.roy,Auto,Finance,08-03-2023 20:16,0,0,1,1,0,1
JE000161,24-03-2023 23:28,3001-Equity,Intercompany Transfer,74565.54,INR,r.das,Manual,IT,24-03-2023 23:28,0,0,1,1,0,1
JE000162,10-10-2023 22:27,3001-Equity,Intercompany Transfer,88466.09,CAD,admin,Auto,Operations,10-10-2023 22:27,0,0,1,1,0,1
JE000163,15-10-2023 00:07,1200-AR,Depreciation,45566.05,USD,p.iyer,Manual,Finance,15-10-2023 00:07,0,1,1,1,0,2
JE000164,08-02-2023 22:57,1200-AR,Adjustment,77103.36,INR,r.das,Auto,Finance,08-02-2023 22:57,0,0,1,1,0,1
JE000165,18-03-2023 17:02,1200-AR,Accrual,82257.07,USD,u.sharma,Auto,Sales,18-03-2023 17:02,0,1,0,1,0,1
JE000166,09-07-2023 18:35,6001-OpEx,Accrual,12015.08,INR,m.khan,Auto,Operations,09-07-2023 18:35,0,1,0,1,0,1
JE000167,17-03-2023 13:08,1200-AR,Reversal,46711.76,USD,u.sharma,Auto,Operations,17-03-2023 13:08,0,0,0,1,0,0
JE000168,22-01-2023 09:23,1200-AR,Vendor Payment,37852.43,CAD,u.sharma,Manual,Sales,22-01-2023 09:23,0,1,0,1,0,1
JE000169,21-01-2023 11:13,5001-COGS,Vendor Payment,19696.22,INR,p.iyer,Auto,Operations,21-01-2023 11:13,0,1,0,1,0,1
JE000170,16-12-2023 07:42,5001-COGS,Depreciation,31389.95,CAD,s.roy,Manual,Sales,16-12-2023 07:42,0,1,0,1,0,1
JE000171,22-02-2023 11:49,3001-Equity,Intercompany Transfer,81361.57,CAD,p.iyer,Auto,IT,22-02-2023 11:49,0,0,0,1,0,0
JE000172,14-10-2023 13:39,1001-Cash,Customer Receipt,64677.99,USD,admin,Auto,Operations,14-10-2023 13:39,0,1,0,1,0,1
JE000173,21-03-2023 07:55,3001-Equity,Accrual,48732.47,CAD,s.roy,Manual,Finance,21-03-2023 07:55,0,0,0,1,0,0
JE000174,25-03-2023 05:56,7001-Tax,Accrual,92185.27,CAD,m.khan,Auto,IT,25-03-2023 05:56,0,1,1,1,0,2
JE000175,31-07-2023 00:11,3001-Equity,Adjustment,51345.89,USD,p.iyer,Manual,Sales,31-07-2023 00:11,0,0,1,1,0,1
JE000176,20-06-2023 13:51,1200-AR,Accrual,51386.18,CAD,r.das,Auto,Finance,20-06-2023 13:51,0,0,0,1,0,0
JE000177,09-12-2023 23:51,3001-Equity,Accrual,56850.98,CAD,a.mehta,Manual,Sales,09-12-2023 23:51,0,1,1,1,0,2
JE000178,08-05-2023 08:10,4001-Revenue,Accrual,80194.98,USD,s.roy,Manual,HR,08-05-2023 08:10,0,0,0,1,0,0
JE000179,26-12-2023 03:24,1001-Cash,Reversal,75089.83,CAD,r.das,Manual,Sales,26-12-2023 03:24,0,0,1,1,0,1
JE000180,20-01-2023 15:14,3001-Equity,Intercompany Transfer,29071.49,CAD,a.mehta,Manual,Finance,20-01-2023 15:14,0,0,0,1,0,0
JE000181,13-04-2023 14:22,7001-Tax,Customer Receipt,21625.29,USD,s.roy,Manual,Operations,13-04-2023 14:22,0,0,0,1,0,0
JE000182,06-06-2023 07:14,7001-Tax,Depreciation,23353.59,CAD,a.mehta,Auto,Finance,06-06-2023 07:14,0,0,0,1,0,0
JE000183,13-01-2023 21:12,1200-AR,Adjustment,81024.03,CAD,p.iyer,Auto,Operations,13-01-2023 21:12,0,0,1,1,0,1
JE000184,24-07-2023 10:17,7001-Tax,Customer Receipt,13106.9,USD,r.das,Auto,IT,24-07-2023 10:17,0,0,0,1,0,0
JE000185,05-02-2023 08:22,1001-Cash,Vendor Payment,68132.76,INR,m.khan,Manual,Finance,05-02-2023 08:22,0,1,0,1,0,1
JE000186,25-11-2023 16:25,3001-Equity,Vendor Payment,26084.87,CAD,r.das,Manual,IT,25-11-2023 16:25,0,1,0,1,0,1
JE000187,14-12-2023 17:21,7001-Tax,Depreciation,63323.82,USD,s.roy,Manual,HR,14-12-2023 17:21,0,0,0,1,0,0
